Sample Number,Read Concentration (mg/ml),Read Concentration (ug/ml),Grp,Time,Sex,IL-18,IL-18-R2,IL-1b,IL-6,IL-10,TNF-a
9069,15.90830825,15908.30825,Naïve,96 HR,F,13198.37976,,,,,
9070,13.58235172,13582.35172,Naïve,24 HR,M,17877.50147,,,,,
9071,12.28844213,12288.44213,Naïve,24 HR,M,19648.79136,,,,,
9072,11.68153692,11681.53692,Naïve,24 HR,F,18949.71085,,,,,
9073,11.27796036,11277.96036,Naïve,24 HR,F,16946.82373,,,,,
9074,12.4270753,12427.0753,Naïve,24 HR,F,16732.38186,,,,,
9075,14.833131,14833.131,Naïve,48 HR,F,16290.63159,,,,,
9076,18.69021387,18690.21387,Naïve,96 HR,M,12786.65136,,,,,
9077,17.87381854,17873.81854,RV (P7),24 HR,F,13721.61793,,,,,
9078,14.17693399,14176.93399,RV (P7),48 HR,F,16297.19573,,,,,
9079,9.394836704,9394.836704,RV (P7),96 HR,F,34836.12298,,,,,
9080,11.53381836,11533.81836,Naïve,24 HR,M,18299.65825,,,,,
9081,12.00172059,12001.72059,Naïve,24 HR,F,16919.66209,,,,,
9082,10.73980244,10739.80244,RV (P10),24 HR,F,18892.76299,,,,,
9083,11.65535141,11655.35141,RV (P10),48 HR,F,13907.15981,,,,,
9084,14.20146877,14201.46877,RV (P10),96 HR,F,14679.37043,,,,,
9085,10.46027643,10460.27643,Naïve,96 HR,F,15392.85781,,,,,
9086,10.59801388,10598.01388,RV (P10),24 HR,M,16822.76874,,,,,
9087,10.58586058,10585.86058,RV (P10),48 HR,M,17060.59786,,,,,
9088,12.04223161,12042.23161,RV (P7),96 HR,M,15627.75078,,,,,
9089,11.91867301,11918.67301,RV (P7),96 HR,M,19233.35779,,,,,
9090,15.1595543,15159.5543,RV (P10),24 HR,M,13408.01226,,,,,
9091,12.44038921,12440.38921,RV (P10),96 HR,M,10900.52986,,,,,
9092,12.28253256,12282.53256,RV (P10),24 HR,F,31283.36689,,,,,
9093,9.078818962,9078.818962,RV (P10),96 HR,F,16925.53441,,,,,
9094,15.13689128,15136.89128,S/H,24 HR,F,17662.51109,,,,,
9095,17.55390946,17553.90946,S/H,24 HR,M,11793.12313,,,,,
9096,19.13765156,19137.65156,RV (P10),96 HR,M,12025.07993,,,,,
9097,14.36313493,14363.13493,RV (P7),24 HR,M,17037.10857,,,,,
9098,12.31617414,12316.17414,RV (P7),48 HR,M,18763.57186,,,,,
9099,14.62191632,14621.91632,RV (P10),48 HR,M,12729.75882,,,,,
9100,11.01967938,11019.67938,RV (P10),48 HR,F,20040.80236,,,,,
9101,13.16756491,13167.56491,S/H,96 HR,F,13786.77717,,,,,
9102,13.41858286,13418.58286,S/H,96 HR,M,12814.90752,,,,,
9103,12.70952185,12709.52185,RV (P10),96 HR,F,20064.29165,,,,,
9104,18.3820099,18382.0099,RV (P10),48 HR,F,12060.31388,,,,,
9105,11.97199489,11971.99489,RV (P10),96 HR,M,19650.2928,,,,,
9106,16.67146492,16671.46492,RV (P10),48 HR,F,11311.59255,,,,,
9107,11.86848234,11868.48234,S/H,48 HR,M,19468.25075,,,,,
9108,12.71987311,12719.87311,Naïve,48 HR,F,15748.13342,,,,,
